Species	traits
Holohalaelurus_regani	2
Hypogaleus_hyugaensis	0
Iago_garricki	0
Iago_omanensis	2
Isistius_brasiliensis	1
Isogomphodon_oxyrhynchus	1
Isurus_oxyrinchus	1
Isurus_paucus	2
Lamiopsis_temminckii	2
Lamiopsis_tephrodes	2
Lamna_ditropis	1
Lamna_nasus	2
Leptocharias_smithii	2
Loxodon_macrorhinus	2
Megachasma_pelagios	0
Mitsukurina_owstoni	2
Mustelus_albipinnis	2
Mustelus_antarcticus	2
Mustelus_asterias	0
Mustelus_californicus	0
Mustelus_canis	2
Mustelus_griseus	0
Mustelus_henlei	2
Mustelus_higmani	2
Mustelus_lenticulatus	0
Mustelus_lunulatus	0
Mustelus_manazo	2
Mustelus_mento	2
Mustelus_mosis	2
Mustelus_mustelus	2
Mustelus_norrisi	2
Mustelus_palumbes	0
Mustelus_punctulatus	0
Mustelus_ravidus	2
Mustelus_schmitti	2
Mustelus_sinusmexicanus	2
Mustelus_stevensi	2
Mustelus_whitneyi	2
Mustelus_widodoi	2
Nasolamia_velox	2
Nebrius_ferrugineus	1
Negaprion_acutidens	1
Negaprion_brevirostris	1
Notorynchus_cepedianus	1
Odontaspis_ferox	2
Odontaspis_noronhai	2
Orectolobus_floridus	2
Orectolobus_halei	1
Orectolobus_hutchinsi	2
Orectolobus_japonicus	2
Orectolobus_leptolineatus	2
Orectolobus_maculatus	2
Orectolobus_ornatus	2
Orectolobus_parvimaculatus	2
Orectolobus_reticulatus	2
Orectolobus_wardi	2
Oxynotus_bruniensis	1
Oxynotus_centrina	2
Oxynotus_paradoxus	0
Paragaleus_pectoralis	2
Paragaleus_randalli	2
Parascyllium_collare	0
Parascyllium_ferrugineum	0
Parmaturus_pilosus	2
Parmaturus_xaniurus	2
Planonasus_indicus	NA
Pliotrema_warreni	2
Poroderma_africanum	2
Poroderma_pantherinum	2
Prionace_glauca	1
Pristiophorus_cirratus	2
Pristiophorus_japonicus	0
Pristiophorus_nudipinnis	2
Proscyllium_habereri	2
Pseudocarcharias_kamoharai	2
