"Log Likelihood"	"Parameters"	"AICc"	"Delta AICc"	"AICcWt"
"3"	-1815.61	7	3645.52	0	0.92
"2"	-1814.95	10	3650.51	4.99	0.08
"5"	-1823.56	10	3667.72	22.2	0
"6"	-1832.97	7	3680.24	34.72	0
"4"	-1833.85	7	3682.01	36.49	0
"1"	-1834.37	7	3683.04	37.52	0
"7"	-1839.21	4	3686.52	41	0
