"Log Likelihood"	"Parameters"	"AICc"	"Delta AICc"	"AICcWt"
"3"	-1945.09	9	3908.67	0	0.71
"2"	-1943.85	11	3910.43	1.76	0.29
"6"	-1954.15	9	3926.79	18.12	0
"5"	-1953.33	11	3929.38	20.71	0
"1"	-1959.23	9	3936.97	28.29	0
"4"	-1961.37	9	3941.22	32.55	0
"7"	-1964.91	7	3944.12	35.45	0
