"Log Likelihood"	"Parameters"	"AICc"	"Delta AICc"	"AICcWt"
"3"	-1980.53	18	3998.98	0	0.98
"2"	-1980.08	22	4007.04	8.07	0.02
"5"	-1988.51	22	4023.9	24.92	0
"6"	-1997.09	18	4032.1	33.12	0
"4"	-1999.33	18	4036.59	37.61	0
"1"	-1999.93	18	4037.79	38.81	0
"7"	-2007.88	14	4044.93	45.95	0
